icao,name,city,state,country,lat,lon
KPNE,Northeast Philadelphia Airport,Philadelphia,Pennsylvania,US,40.08190155,-75.01059723
KPNM,Princeton Municipal Airport,Princeton,Maine,US,45.55989838,-93.60820007
KPNN,Princeton Municipal Airport,Princeton,Maine,US,45.2006988525,-67.5643997192
KPNS,Pensacola Regional Airport,Pensacola,Florida,US,30.473400116,-87.1865997314
KPNT,Pontiac Municipal Airport,Pontiac,Illinois,US,40.9244003296,-88.6239013672
KPO1,Poplar Municipal Airport,Poplar,Montana,US,48.13441666,-105.16213888
KPOB,Pope Air Force Base,Fayetteville,North Carolina,US,35.1708984375,-79.014503479
KPOC,Brackett Field,La Verne,Minnesota,US,34.0915985107,-117.7819976807
KPOE,Polk Army Air Field,Fort Polk,Louisiana,US,31.0447998,-93.1917038
KPOF,Poplar Bluff Regional Business Airport,Poplar Bluff,Missouri,US,36.7738990784,-90.3248977661
KPOH,Pocahontas Municipal Airport,Pocahontas,Iowa,US,42.74280167,-94.64730072
KPOU,Hudson Valley Regional Airport,Poughkeepsie,New York,US,41.6265983582,-73.8842010498
KPOV,Portage County Airport,Ravenna,Ohio,US,41.2102012634,-81.2516021729
KPOY,Powell Municipal Airport,Powell,Wyoming,US,44.8671989441,-108.7929992676
KPPA,Perry Lefors Field,Pampa,Texas,US,35.6129989624,-100.9960021973
KPPF,Tri City Airport,Parsons,Kansas,US,37.32989883,-95.5062027
KPPO,La Porte Municipal Airport,La Porte,Indiana,US,41.5724983215,-86.7344970703
KPPQ,Pittsfield Penstone Municipal Airport,Pittsfield,Illinois,US,39.6389007568,-90.7783966064
KPQI,Presque Isle International Airport,Presque Isle,Maine,US,46.68899918,-68.0447998
KPQL,Trent Lott International Airport,Pascagoula,Mississippi,US,30.4627990723,-88.5291976929
KPQN,Pipestone Municipal Airport,Pipestone,Minnesota,US,43.9832992554,-96.3003005981
KPRB,Paso Robles Municipal Airport,Paso Robles,California,US,35.67290115,-120.6269989
KPRC,Ernest A. Love Field,Prescott,Arizona,US,34.65449905,-112.4199982
KPRG,Edgar County Airport,Paris,Illinois,US,39.7001991272,-87.6696014404
KPRN,Mac Crenshaw Memorial Airport,Greenville,Alabama,US,31.84569931,-86.61070251
KPRO,Perry Municipal Airport,Perry,Iowa,US,41.82799911,-94.15989685
KPRS,Presidio Lely International Airport,Presidio,Texas,US,29.6340999603,-104.3619995117
KPRX,Cox Field,Paris,Texas,US,33.6366004944,-95.4507980347
KPRZ,Portales Municipal Airport,Portales,New Mexico,US,34.1455001831,-103.4100036621
KPSB,Mid State Airport,Philipsburg,Pennsylvania,US,40.8843994141,-78.0873031616
KPSC,Tri Cities Airport,Pasco,Washington,US,46.2647018433,-119.1190032959
KPSF,Pittsfield Municipal Airport,Pittsfield,Massachusetts,US,42.4267997742,-73.2929000854
KPSK,New River Valley Airport,Dublin,Virginia,US,37.137298584,-80.6784973145
KPSM,Portsmouth International at Pease Airport,Portsmouth,New Hampshire,US,43.0778999329,-70.8233032227
KPSN,Palestine Municipal Airport,Palestine,Texas,US,31.7796993256,-95.7062988281
KPSO,Stevens Field,Pagosa Springs,Colorado,US,37.28630066,-107.0559998
KPSP,Palm Springs International Airport,Palm Springs,California,US,33.82970047,-116.5070037842
KPSX,Palacios Municipal Airport,Palacios,Texas,US,28.7275009155,-96.2509994507
KPTB,Dinwiddie County Airport,Petersburg,Virginia,US,37.1837997437,-77.5074005127
KPTD,Potsdam Municipal-Damon field,Potsdam,New York,US,44.67670059,-74.9484024
KPTK,Oakland County International Airport,Pontiac,Michigan,US,42.6655006409,-83.4200973511
KPTN,Harry P Williams Memorial Airport,Patterson,Louisiana,US,29.7094993591,-91.3389968872
KPTS,Atkinson Municipal Airport,Pittsburg,Kansas,US,37.4495010376,-94.7311019897
KPTT,Pratt Industrial Airport,Pratt,Kansas,US,37.70159912,-98.74690247
KPTV,Porterville Municipal Airport,Porterville,California,US,36.0295982361,-119.06300354
KPTW,Heritage Field,Pottstown,Pennsylvania,US,40.2396011353,-75.5567016602
KPUB,Pueblo Memorial Airport,Pueblo,Colorado,US,38.289100647,-104.4970016479
KPUC,Carbon County Regional/Buck Davis Field,Price,Utah,US,39.61389923,-110.7509995
KPUJ,Paulding County Regional Airport,Dallas,Georgia,US,33.913306439,-84.9420833588
KPUW,Pullman Moscow Regional Airport,Pullman/Moscow,Washington,US,46.7439002991,-117.1100006104
KPVB,Platteville Municipal Airport,Platteville,Wisconsin,US,42.68939972,-90.44439697
KPVC,Provincetown Municipal Airport,Provincetown,Massachusetts,US,42.0718994141,-70.2213973999
KPVD,Rhode Island TF Green International Airport,Providence,Rhode Island,US,41.7326011658,-71.4204025269
KPVE,Beech River Regional Airport,Lexington-Parsons,Tennessee,US,35.6563987732,-88.1953964233
KPVF,Placerville Airport,Placerville,California,US,38.7242012024,-120.7529983521
KPVG,Hampton Roads Executive Airport,Norfolk,Virginia,US,36.7802009583,-76.4487991333
KPVJ,Pauls Valley Municipal Airport,Pauls Valley,Oklahoma,US,34.71110153,-97.22319794
KPVU,Provo Municipal Airport,Provo,Utah,US,40.2192001343,-111.7229995728
KPVW,Hale County Airport,Plainview,Texas,US,34.1680984497,-101.7170028687
KPWA,Wiley Post Airport,Oklahoma City,Oklahoma,US,35.53419876,-97.64710236
KPWC,Pine River Regional Airport,Pine River,Minnesota,US,46.7248001099,-94.3816986084
KPWD,Sher Wood Airport,Plentywood,Montana,US,48.7902984619,-104.533996582
KPWG,Mc Gregor Executive Airport,Waco,Texas,US,31.48489952,-97.3164978
KPWK,Chicago Executive Airport,Chicago/Prospect Heights/Wheeling,Illinois,US,42.114222,-87.901494
KPWM,Portland International Jetport Airport,Portland,Maine,US,43.64619827,-70.30930328
KPWT,Bremerton National Airport,Bremerton,Washington,US,47.4902000427,-122.7649993896
KPXE,Perry Houston County Airport,Perry,Georgia,US,32.5106010437,-83.7673034668
KPYG,Pageland Airport,Pageland,South Carolina,US,34.742099762,-80.345199585
KPYM,Plymouth Municipal Airport,Plymouth,Massachusetts,US,41.9090003967,-70.7287979126
KPYN,Piedmont Municipal Airport,Piedmont,Missouri,US,37.126701355,-90.7128982544
KPYP,Centre-Piedmont-Cherokee County Regional Airport,Centre,Alabama,US,34.08997726,-85.61006927
KPYX,Perryton Ochiltree County Airport,Perryton,Texas,US,36.4128990173,-100.7519989014
KPZQ,Presque Isle County Airport,Rogers City,Michigan,US,45.4071006775,-83.8128967285
KQMG,Mudaysis Air Base,,Anbar,IQ,32.4106712341,41.9474945068
